fips,ctry,admin,prov,x,y,date,cases,deaths,recovered,Active,Combined_Key
45001,US,Abbeville,South Carolina,-82.46170658,34.22333378,2020-03-24T01:39:17Z,1,0,0,0,"Abbeville, South Carolina, US"
22001,US,Acadia,Louisiana,-92.41419698,30.295064899999996,2020-03-24T01:39:17Z,1,0,0,0,"Acadia, Louisiana, US"
51001,US,Accomack,Virginia,-75.63234615,37.76707161,2020-03-24T01:39:17Z,1,0,0,0,"Accomack, Virginia, US"
16001,US,Ada,Idaho,-116.24155159999998,43.4526575,2020-03-24T01:39:17Z,13,0,0,0,"Ada, Idaho, US"
19001,US,Adair,Iowa,-94.47105874,41.33075609,2020-03-24T01:39:17Z,1,0,0,0,"Adair, Iowa, US"
21001,US,Adair,Kentucky,-85.28129668,37.10459774,2020-03-24T01:39:17Z,0,0,0,0,"Adair, Kentucky, US"
29001,US,Adair,Missouri,-92.60078167,40.19058551,2020-03-24T01:39:17Z,2,0,0,0,"Adair, Missouri, US"
40001,US,Adair,Oklahoma,-94.65859267,35.88494195,2020-03-24T01:39:17Z,0,0,0,0,"Adair, Oklahoma, US"
08001,US,Adams,Colorado,-104.3362578,39.87432092,2020-03-24T01:39:17Z,25,0,0,0,"Adams, Colorado, US"
16003,US,Adams,Idaho,-116.4545247,44.89333571,2020-03-24T01:39:17Z,0,0,0,0,"Adams, Idaho, US"
17001,US,Adams,Illinois,-91.18786813,39.98815591,2020-03-24T01:39:17Z,1,0,0,0,"Adams, Illinois, US"
18001,US,Adams,Indiana,-84.93671406,40.7457653,2020-03-24T01:39:17Z,1,0,0,0,"Adams, Indiana, US"
19003,US,Adams,Iowa,-94.69932645,41.02903567,2020-03-24T01:39:17Z,0,0,0,0,"Adams, Iowa, US"
28001,US,Adams,Mississippi,-91.35326037,31.47669768,2020-03-24T01:39:17Z,2,0,0,0,"Adams, Mississippi, US"
31001,US,Adams,Nebraska,-98.50117804,40.52449420000001,2020-03-24T01:39:17Z,1,0,0,0,"Adams, Nebraska, US"
38001,US,Adams,North Dakota,-102.5285397,46.09686891,2020-03-24T01:39:17Z,0,0,0,0,"Adams, North Dakota, US"
39001,US,Adams,Ohio,-83.4718964,38.84541072,2020-03-24T01:39:17Z,0,0,0,0,"Adams, Ohio, US"
42001,US,Adams,Pennsylvania,-77.21610347,39.87140411,2020-03-24T01:39:17Z,6,0,0,0,"Adams, Pennsylvania, US"
53001,US,Adams,Washington,-118.56017340000001,46.98299757,2020-03-24T01:39:17Z,1,0,0,0,"Adams, Washington, US"
55001,US,Adams,Wisconsin,-89.76782777,43.96974651,2020-03-24T01:39:17Z,0,0,0,0,"Adams, Wisconsin, US"
50001,US,Addison,Vermont,-73.14130877,44.03217337,2020-03-24T01:39:17Z,6,0,0,0,"Addison, Vermont, US"
45003,US,Aiken,South Carolina,-81.63645384,33.54338026,2020-03-24T01:39:17Z,1,0,0,0,"Aiken, South Carolina, US"
27001,US,Aitkin,Minnesota,-93.41168259999999,46.60962049,2020-03-24T01:39:17Z,0,0,0,0,"Aitkin, Minnesota, US"
12001,US,Alachua,Florida,-82.35928158,29.67866525,2020-03-24T01:39:17Z,36,0,0,0,"Alachua, Florida, US"
37001,US,Alamance,North Carolina,-79.39976137,36.0434701,2020-03-24T01:39:17Z,2,0,0,0,"Alamance, North Carolina, US"
06001,US,Alameda,California,-121.8929271,37.64629437,2020-03-24T01:39:17Z,122,1,0,0,"Alameda, California, US"
08003,US,Alamosa,Colorado,-105.7885451,37.57250606,2020-03-24T01:39:17Z,0,0,0,0,"Alamosa, Colorado, US"
36001,US,Albany,New York,-73.97723916,42.60060306,2020-03-24T01:39:17Z,127,0,0,0,"Albany, New York, US"
56001,US,Albany,Wyoming,-105.72354150000001,41.65498705,2020-03-24T01:39:17Z,0,0,0,0,"Albany, Wyoming, US"
51003,US,Albemarle,Virginia,-78.55481085,38.02080697,2020-03-24T01:39:17Z,2,0,0,0,"Albemarle, Virginia, US"
26001,US,Alcona,Michigan,-83.59507875,44.6846864,2020-03-24T01:39:17Z,0,0,0,0,"Alcona, Michigan, US"
28003,US,Alcorn,Mississippi,-88.57996173,34.88084463,2020-03-24T01:39:17Z,0,0,0,0,"Alcorn, Mississippi, US"
02013,US,Aleutians East,Alaska,-161.9722021,55.32222414,2020-03-24T01:39:17Z,0,0,0,0,"Aleutians East, Alaska, US"
02016,US,Aleutians West,Alaska,-110.4086433,52.72541116,2020-03-24T01:39:17Z,0,0,0,0,"Aleutians West, Alaska, US"
17003,US,Alexander,Illinois,-89.32910838,37.18049267,2020-03-24T01:39:17Z,0,0,0,0,"Alexander, Illinois, US"
37003,US,Alexander,North Carolina,-81.17751948,35.922379600000006,2020-03-24T01:39:17Z,0,0,0,0,"Alexander, North Carolina, US"
51510,US,Alexandria,Virginia,-77.08183073,38.814003,2020-03-24T01:39:17Z,6,0,0,0,"Alexandria, Virginia, US"
40003,US,Alfalfa,Oklahoma,-98.32408495,36.73090616,2020-03-24T01:39:17Z,0,0,0,0,"Alfalfa, Oklahoma, US"
26003,US,Alger,Michigan,-86.60260122,46.41292944,2020-03-24T01:39:17Z,0,0,0,0,"Alger, Michigan, US"
19005,US,Allamakee,Iowa,-91.37860922,43.28383218,2020-03-24T01:39:17Z,6,0,0,0,"Allamakee, Iowa, US"
26005,US,Allegan,Michigan,-85.89102866,42.59147037,2020-03-24T01:39:17Z,1,0,0,0,"Allegan, Michigan, US"
