fips,admin2,prov,country,key,date,x,y,cases,deaths,recovered,active
NA,NA,"Los Angeles, CA",US,NA,2020-02-01,-118.2437,34.0522,1,0,0,NA
NA,NA,"Orange, CA",US,NA,2020-02-01,-117.8531,33.7879,1,0,0,NA
NA,NA,"Los Angeles, CA",US,NA,2020-02-01,-118.2437,34.0522,1,0,0,NA
NA,NA,"Orange, CA",US,NA,2020-02-01,-117.8531,33.7879,1,0,0,NA
NA,NA,"Los Angeles, CA",US,NA,2020-02-01,-118.2437,34.0522,1,0,0,NA
NA,NA,"Orange, CA",US,NA,2020-02-01,-117.8531,33.7879,1,0,0,NA
NA,NA,"San Benito, CA",US,NA,2020-02-03,-120.9876,36.5761,2,0,0,NA
NA,NA,"San Benito, CA",US,NA,2020-02-03,-120.9876,36.5761,2,0,0,NA
NA,NA,"San Benito, CA",US,NA,2020-02-03,-120.9876,36.5761,2,0,0,NA
NA,NA,"San Benito, CA",US,NA,2020-02-03,-120.9876,36.5761,2,0,0,NA
NA,NA,"San Benito, CA",US,NA,2020-02-03,-120.9876,36.5761,2,0,0,NA
NA,NA,"San Benito, CA",US,NA,2020-02-03,-120.9876,36.5761,2,0,0,NA
NA,NA,"San Benito, CA",US,NA,2020-02-03,-120.9876,36.5761,2,0,0,NA
NA,NA,"San Benito, CA",US,NA,2020-02-03,-120.9876,36.5761,2,0,0,NA
NA,NA,"San Benito, CA",US,NA,2020-02-03,-120.9876,36.5761,2,0,0,NA
NA,NA,"Madison, WI",US,NA,2020-02-05,-89.4012,43.0731,1,0,0,NA
NA,NA,"Madison, WI",US,NA,2020-02-05,-89.4012,43.0731,1,0,0,NA
NA,NA,NA,Sri Lanka,NA,2020-02-08,81,7,1,0,1,NA
NA,NA,NA,Sri Lanka,NA,2020-02-08,81,7,1,0,1,NA
NA,NA,NA,Sri Lanka,NA,2020-02-08,81,7,1,0,1,NA
NA,NA,NA,Sri Lanka,NA,2020-02-08,81,7,1,0,1,NA
NA,NA,NA,Sri Lanka,NA,2020-02-08,81,7,1,0,1,NA
NA,NA,NA,Sri Lanka,NA,2020-02-08,81,7,1,0,1,NA
NA,NA,NA,Sri Lanka,NA,2020-02-08,81,7,1,0,1,NA
NA,NA,NA,Sri Lanka,NA,2020-02-08,81,7,1,0,1,NA
NA,NA,NA,Sri Lanka,NA,2020-02-08,81,7,1,0,1,NA
NA,NA,NA,Cambodia,NA,2020-02-12,104.9167,11.55,1,0,1,NA
NA,NA,NA,Cambodia,NA,2020-02-12,104.9167,11.55,1,0,1,NA
NA,NA,NA,Cambodia,NA,2020-02-12,104.9167,11.55,1,0,1,NA
NA,NA,NA,Cambodia,NA,2020-02-12,104.9167,11.55,1,0,1,NA
NA,NA,NA,Cambodia,NA,2020-02-12,104.9167,11.55,1,0,1,NA
NA,NA,NA,Cambodia,NA,2020-02-12,104.9167,11.55,1,0,1,NA
NA,NA,NA,Cambodia,NA,2020-02-12,104.9167,11.55,1,0,1,NA
NA,NA,"London, ON",Canada,NA,2020-02-12,-81.2453,42.9849,1,0,1,NA
NA,NA,"London, ON",Canada,NA,2020-02-12,-81.2453,42.9849,1,0,1,NA
NA,NA,"London, ON",Canada,NA,2020-02-12,-81.2453,42.9849,1,0,1,NA
NA,NA,"London, ON",Canada,NA,2020-02-12,-81.2453,42.9849,1,0,1,NA
NA,NA,"London, ON",Canada,NA,2020-02-12,-81.2453,42.9849,1,0,1,NA
