state,county,date,cases
massachusetts,berkshire,2020-03-13,9
massachusetts,essex,2020-03-13,2
massachusetts,middlesex,2020-03-13,60
massachusetts,norfolk,2020-03-13,24
massachusetts,suffolk,2020-03-13,26
massachusetts,worcester,2020-03-13,2
massachusetts,barnstable,2020-03-14,1
massachusetts,berkshire,2020-03-14,9
massachusetts,bristol,2020-03-14,1
massachusetts,essex,2020-03-14,5
massachusetts,middlesex,2020-03-14,65
massachusetts,norfolk,2020-03-14,28
massachusetts,suffolk,2020-03-14,27
massachusetts,worcester,2020-03-14,2
massachusetts,barnstable,2020-03-15,1
massachusetts,berkshire,2020-03-15,9
massachusetts,bristol,2020-03-15,1
massachusetts,essex,2020-03-15,6
massachusetts,hampden,2020-03-15,1
massachusetts,middlesex,2020-03-15,75
massachusetts,norfolk,2020-03-15,31
massachusetts,plymouth,2020-03-15,1
massachusetts,suffolk,2020-03-15,31
massachusetts,worcester,2020-03-15,6
massachusetts,unknown,2020-03-15,2
massachusetts,barnstable,2020-03-16,1
massachusetts,berkshire,2020-03-16,11
massachusetts,bristol,2020-03-16,2
massachusetts,essex,2020-03-16,8
massachusetts,hampden,2020-03-16,1
massachusetts,middlesex,2020-03-16,83
massachusetts,norfolk,2020-03-16,36
massachusetts,plymouth,2020-03-16,3
massachusetts,suffolk,2020-03-16,36
massachusetts,worcester,2020-03-16,6
massachusetts,unknown,2020-03-16,10
massachusetts,barnstable,2020-03-17,2
massachusetts,berkshire,2020-03-17,14
massachusetts,bristol,2020-03-17,5
massachusetts,essex,2020-03-17,8
massachusetts,hampden,2020-03-17,1
massachusetts,middlesex,2020-03-17,89
massachusetts,norfolk,2020-03-17,43
massachusetts,plymouth,2020-03-17,5
massachusetts,suffolk,2020-03-17,42
massachusetts,worcester,2020-03-17,8
massachusetts,unknown,2020-03-17,1
massachusetts,barnstable,2020-03-18,2
massachusetts,berkshire,2020-03-18,17
massachusetts,bristol,2020-03-18,5
massachusetts,essex,2020-03-18,14
massachusetts,franklin,2020-03-18,1
massachusetts,hampden,2020-03-18,2
massachusetts,middlesex,2020-03-18,100
massachusetts,norfolk,2020-03-18,45
massachusetts,plymouth,2020-03-18,5
massachusetts,suffolk,2020-03-18,51
massachusetts,worcester,2020-03-18,10
massachusetts,unknown,2020-03-18,4
massachusetts,barnstable,2020-03-19,5
massachusetts,berkshire,2020-03-19,18
massachusetts,bristol,2020-03-19,6
massachusetts,essex,2020-03-19,19
massachusetts,franklin,2020-03-19,1
massachusetts,hampden,2020-03-19,3
massachusetts,hampshire,2020-03-19,1
massachusetts,middlesex,2020-03-19,119
massachusetts,norfolk,2020-03-19,52
massachusetts,plymouth,2020-03-19,5
massachusetts,suffolk,2020-03-19,72
massachusetts,worcester,2020-03-19,14
massachusetts,unknown,2020-03-19,13
massachusetts,barnstable,2020-03-20,9
massachusetts,berkshire,2020-03-20,20
massachusetts,bristol,2020-03-20,6
massachusetts,essex,2020-03-20,29
massachusetts,franklin,2020-03-20,1
massachusetts,hampden,2020-03-20,3
massachusetts,hampshire,2020-03-20,2
massachusetts,middlesex,2020-03-20,144
massachusetts,norfolk,2020-03-20,64
massachusetts,plymouth,2020-03-20,11
massachusetts,suffolk,2020-03-20,86
massachusetts,worcester,2020-03-20,19
massachusetts,unknown,2020-03-20,19
massachusetts,barnstable,2020-03-21,11
massachusetts,berkshire,2020-03-21,21
massachusetts,bristol,2020-03-21,14
massachusetts,dukes and nantucket,2020-03-21,1
massachusetts,essex,2020-03-21,41
massachusetts,franklin,2020-03-21,2
massachusetts,hampden,2020-03-21,9
massachusetts,hampshire,2020-03-21,2
massachusetts,middlesex,2020-03-21,177
massachusetts,norfolk,2020-03-21,69
massachusetts,plymouth,2020-03-21,20
massachusetts,suffolk,2020-03-21,108
massachusetts,worcester,2020-03-21,24
massachusetts,unknown,2020-03-21,26
massachusetts,barnstable,2020-03-22,24
massachusetts,berkshire,2020-03-22,23
massachusetts,bristol,2020-03-22,24
massachusetts,dukes and nantucket,2020-03-22,1
massachusetts,essex,2020-03-22,60
massachusetts,franklin,2020-03-22,2
massachusetts,hampden,2020-03-22,12
massachusetts,hampshire,2020-03-22,4
massachusetts,middlesex,2020-03-22,199
massachusetts,norfolk,2020-03-22,75
massachusetts,plymouth,2020-03-22,25
massachusetts,suffolk,2020-03-22,126
massachusetts,worcester,2020-03-22,37
massachusetts,unknown,2020-03-22,34
